ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
04402372224,A Painted House,John Grisham,2001,Dell Publishing Company,http://images.amazon.com/images/P/044023722X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg
0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998,Perennial,http://images.amazon.com/images/P/0380730138.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380730138.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380730138.01.LZZZZZZZ.jpg
0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg
0312995423,Digital Fortress : A Thriller,Dan Brown,2003,St. Martin's Press,http://images.amazon.com/images/P/0312995423.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312995423.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312995423.01.LZZZZZZZ.jpg
00610135124,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1998,HarperTorch,http://images.amazon.com/images/P/006101351X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006101351X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006101351X.01.LZZZZZZZ.jpg
0440224675,Hannibal,Thomas Harris,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440224675.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224675.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440224675.01.LZZZZZZZ.jpg
04402114524,The Firm,John Grisham,1992,Bantam Dell Publishing Group,http://images.amazon.com/images/P/044021145X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044021145X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044021145X.01.LZZZZZZZ.jpg
0375726403,Empire Falls,Richard Russo,2002,Vintage Books USA,http://images.amazon.com/images/P/0375726403.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375726403.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375726403.01.LZZZZZZZ.jpg
0440226104,Black and Blue,ANNA QUINDLEN,1999,Dell,http://images.amazon.com/images/P/0440226104.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440226104.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440226104.01.LZZZZZZZ.jpg
0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket,http://images.amazon.com/images/P/0671021001.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671021001.01.LZZZZZZZ.jpg
0805063897,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002,Owl Books,http://images.amazon.com/images/P/0805063897.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805063897.01.LZZZZZZZ.jpg
0842329129,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996,Tyndale House Publishers,http://images.amazon.com/images/P/0842329129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842329129.01.LZZZZZZZ.jpg
0060915544,The Bean Trees,Barbara Kingsolver,1989,Perennial,http://images.amazon.com/images/P/0060915544.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060915544.01.LZZZZZZZ.jpg
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,http://images.amazon.com/images/P/0312195516.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg
0312278586,The Nanny Diaries: A Novel,Emma McLaughlin,2002,St. Martin's Press,http://images.amazon.com/images/P/0312278586.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312278586.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312278586.01.LZZZZZZZ.jpg
0156027321,Life of Pi,Yann Martel,2003,Harvest Books,http://images.amazon.com/images/P/0156027321.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156027321.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156027321.01.LZZZZZZZ.jpg
0449907481,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992,Ballantine Books,http://images.amazon.com/images/P/0449907481.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449907481.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449907481.01.LZZZZZZZ.jpg
06848426724,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner,http://images.amazon.com/images/P/068484267X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068484267X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/068484267X.01.LZZZZZZZ.jpg
0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial,http://images.amazon.com/images/P/0060938455.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060938455.01.LZZZZZZZ.jpg
0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,http://images.amazon.com/images/P/0061009059.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061009059.01.LZZZZZZZ.jpg
0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books,http://images.amazon.com/images/P/0446364193.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446364193.01.LZZZZZZZ.jpg
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books,http://images.amazon.com/images/P/0446672211.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446672211.01.LZZZZZZZ.jpg
0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books,http://images.amazon.com/images/P/0140293248.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140293248.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140293248.01.LZZZZZZZ.jpg
0142000205,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books,http://images.amazon.com/images/P/0142000205.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142000205.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142000205.01.LZZZZZZZ.jpg
0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday,http://images.amazon.com/images/P/0385504209.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg
0385505833,Skipping Christmas,JOHN GRISHAM,2001,Doubleday,http://images.amazon.com/images/P/0385505833.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385505833.01.LZZZZZZZ.jpg
0316776963,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books,http://images.amazon.com/images/P/0316776963.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316776963.01.LZZZZZZZ.jpg
0440211727,A Time to Kill,JOHN GRISHAM,1992,Dell,http://images.amazon.com/images/P/0440211727.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440211727.01.LZZZZZZZ.jpg
04402216524,The Rainmaker,JOHN GRISHAM,1996,Dell,http://images.amazon.com/images/P/044022165X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044022165X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044022165X.01.LZZZZZZZ.jpg
0671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner,http://images.amazon.com/images/P/0671510053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671510053.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671510053.01.LZZZZZZZ.jpg
0743237188,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,2002,Touchstone,http://images.amazon.com/images/P/0743237188.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743237188.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743237188.01.LZZZZZZZ.jpg
0345443284,While I Was Gone,Sue Miller,1999,Ballantine Books,http://images.amazon.com/images/P/0345443284.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345443284.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345443284.01.LZZZZZZZ.jpg
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial,http://images.amazon.com/images/P/0060928336.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060928336.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060928336.01.LZZZZZZZ.jpg
0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,http://images.amazon.com/images/P/0671003755.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671003755.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671003755.01.LZZZZZZZ.jpg
0446601241,Kiss the Girls,James Patterson,1995,Warner Books,http://images.amazon.com/images/P/0446601241.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446601241.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446601241.01.LZZZZZZZ.jpg
0345384466,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books,http://images.amazon.com/images/P/0345384466.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345384466.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345384466.01.LZZZZZZZ.jpg
0380789035,American Gods,Neil Gaiman,2002,HarperTorch,http://images.amazon.com/images/P/0380789035.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380789035.01.LZZZZZZZ.jpg
0440206154,Red Dragon,Thomas Harris,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440206154.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440206154.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440206154.01.LZZZZZZZ.jpg
0345370775,Jurassic Park,Michael Crichton,1999,Ballantine Books,http://images.amazon.com/images/P/0345370775.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345370775.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345370775.01.LZZZZZZZ.jpg
0380789019,Neverwhere,Neil Gaiman,1998,Avon,http://images.amazon.com/images/P/0380789019.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380789019.01.LZZZZZZZ.jpg
0380018179,The Thorn Birds,Colleen McCullough,1978,Avon,http://images.amazon.com/images/P/0380018179.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380018179.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380018179.01.LZZZZZZZ.jpg
0385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,Delta,http://images.amazon.com/images/P/0385335881.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335881.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335881.01.LZZZZZZZ.jpg
0385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta,http://images.amazon.com/images/P/0385335482.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335482.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335482.01.LZZZZZZZ.jpg
0446606812,Message in a Bottle,Nicholas Sparks,1999,Warner Vision,http://images.amazon.com/images/P/0446606812.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446606812.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446606812.01.LZZZZZZZ.jpg
0060930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial,http://images.amazon.com/images/P/0060930535.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060930535.01.LZZZZZZZ.jpg
0671038184,Jewel,Bret Lott,1999,Washington Square Press,http://images.amazon.com/images/P/0671038184.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671038184.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671038184.01.LZZZZZZZ.jpg
0345361792,A Prayer for Owen Meany,John Irving,1990,Ballantine Books,http://images.amazon.com/images/P/0345361792.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345361792.01.LZZZZZZZ.jpg
1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor,http://images.amazon.com/images/P/1400034779.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1400034779.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1400034779.01.LZZZZZZZ.jpg
0767902521,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson,1999,Broadway Books,http://images.amazon.com/images/P/0767902521.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767902521.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767902521.01.LZZZZZZZ.jpg
08041075324,The Kitchen God's Wife,Amy Tan,1992,Ivy Books,http://images.amazon.com/images/P/080410753X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080410753X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080410753X.01.LZZZZZZZ.jpg
0140244824,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996,Penguin Books,http://images.amazon.com/images/P/0140244824.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140244824.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140244824.01.LZZZZZZZ.jpg
01402544824,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books,http://images.amazon.com/images/P/014025448X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014025448X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014025448X.01.LZZZZZZZ.jpg
0060934417,Bel Canto: A Novel,Ann Patchett,2002,Perennial,http://images.amazon.com/images/P/0060934417.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060934417.01.LZZZZZZZ.jpg
0743418174,Good in Bed,Jennifer Weiner,2002,Washington Square Press,http://images.amazon.com/images/P/0743418174.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743418174.01.LZZZZZZZ.jpg
0375700757,Cold Mountain : A Novel,CHARLES FRAZIER,1998,Vintage,http://images.amazon.com/images/P/0375700757.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375700757.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375700757.01.LZZZZZZZ.jpg
0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989,McGraw-Hill,http://images.amazon.com/images/P/0070212570.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0070212570.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0070212570.01.LZZZZZZZ.jpg
0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books,http://images.amazon.com/images/P/0316781266.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316781266.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316781266.01.LZZZZZZZ.jpg
0375725784,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,Vintage Books USA,http://images.amazon.com/images/P/0375725784.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375725784.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375725784.01.LZZZZZZZ.jpg
0440226430,Summer Sisters,Judy Blume,1999,Dell Publishing Company,http://images.amazon.com/images/P/0440226430.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440226430.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440226430.01.LZZZZZZZ.jpg
0375707972,The Reader,Bernhard Schlink,1999,Vintage Books USA,http://images.amazon.com/images/P/0375707972.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375707972.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375707972.01.LZZZZZZZ.jpg
0399501487,Lord of the Flies,William Gerald Golding,1959,Perigee Trade,http://images.amazon.com/images/P/0399501487.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399501487.01.LZZZZZZZ.jpg
0440224764,The Partner,John Grisham,1998,Dell Publishing Company,http://images.amazon.com/images/P/0440224764.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224764.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440224764.01.LZZZZZZZ.jpg
0553572997,The Alienist,Caleb Carr,1995,Bantam Books,http://images.amazon.com/images/P/0553572997.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553572997.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553572997.01.LZZZZZZZ.jpg
0385486804,Into the Wild,Jon Krakauer,1997,Anchor,http://images.amazon.com/images/P/0385486804.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385486804.01.LZZZZZZZ.jpg
0440236673,The Brethren,John Grisham,2000,Island,http://images.amazon.com/images/P/0440236673.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236673.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236673.01.LZZZZZZZ.jpg
0062502182,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995,HarperSanFrancisco,http://images.amazon.com/images/P/0062502182.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062502182.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062502182.01.LZZZZZZZ.jpg
0345380371,Rising Sun,MICHAEL CRICHTON,1992,Ballantine Books,http://images.amazon.com/images/P/0345380371.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345380371.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345380371.01.LZZZZZZZ.jpg
0446610038,1st to Die: A Novel,James Patterson,2002,Warner Vision,http://images.amazon.com/images/P/0446610038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.LZZZZZZZ.jpg
0385492081,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1998,Anchor,http://images.amazon.com/images/P/0385492081.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385492081.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385492081.01.LZZZZZZZ.jpg
06797640224,Snow Falling on Cedars,David Guterson,1995,Vintage Books USA,http://images.amazon.com/images/P/067976402X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067976402X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067976402X.01.LZZZZZZZ.jpg
0425167313,Here on Earth,Alice Hoffman,1998,Berkley Publishing Group,http://images.amazon.com/images/P/0425167313.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425167313.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425167313.01.LZZZZZZZ.jpg
03454028824,The Lost World,Michael Crichton,1996,Ballantine Books,http://images.amazon.com/images/P/034540288X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/034540288X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/034540288X.01.LZZZZZZZ.jpg
0449212602,The Handmaid's Tale,Margaret Atwood,1989,Fawcett Books,http://images.amazon.com/images/P/0449212602.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449212602.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449212602.01.LZZZZZZZ.jpg
0312976275,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312976275.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312976275.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312976275.01.LZZZZZZZ.jpg
0767905180,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001,Broadway Books,http://images.amazon.com/images/P/0767905180.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767905180.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767905180.01.LZZZZZZZ.jpg
